video_id,start,text
-223jAcyIBk,0.16,"what is happening there reject nation we"
-223jAcyIBk,2.8,"finally got ourselves a moon night"
-223jAcyIBk,5.44,"official trailer coijondro back on the"
-223jAcyIBk,8.96,"channel i'm here i'm alive i'm excited"
-223jAcyIBk,10.96,"our marvel comics expert right here"
-223jAcyIBk,13.679,"we're counting on you to give a the best"
-223jAcyIBk,15.92,"trailer review afterwards luckily moon"
-223jAcyIBk,17.92,"knight isn't dense or complicated or has"
-223jAcyIBk,20.08,"gone through a series of cancellations"
-223jAcyIBk,21.52,"and myriad of writers it's a very linear"
-223jAcyIBk,23.119,"character easy to explain all right you"
-223jAcyIBk,24.8,"have to wrap it up in like two minutes"
-223jAcyIBk,26.32,"two minutes whole character"
-223jAcyIBk,28.48,"watch time to worry about it right"
-223jAcyIBk,30.4,"i know my place this is content all"
-223jAcyIBk,32.0,"right we talk slowly and calmly there's"
-223jAcyIBk,33.44,"only so much we can learn on wikipedia"
-223jAcyIBk,35.2,"before filming as you guys know i love"
-223jAcyIBk,36.8,"wikipedia hosts"
-223jAcyIBk,42.44,"[Music]"
-223jAcyIBk,48.32,"hello and welcome to staying awake i"
-223jAcyIBk,50.719,"have a sleeping disorder"
-223jAcyIBk,52.879,"i can't tell the difference"
-223jAcyIBk,54.719,"between my waking life"
-223jAcyIBk,63.46,"[Music]"
-223jAcyIBk,70.32,"i'm looking forward to this already"
-223jAcyIBk,73.2,"yes"
-223jAcyIBk,74.56,"[Music]"
-223jAcyIBk,79.04,"you're bloody useless"
-223jAcyIBk,81.2,"stevie stephen"
-223jAcyIBk,83.27,"[Music]"
-223jAcyIBk,97.28,"hope you find it"
-223jAcyIBk,98.72,"thanks"
-223jAcyIBk,111.36,"oh my god you're alive what's wrong with"
-223jAcyIBk,113.759,"you mark"
-223jAcyIBk,115.6,"why did you call me mark"
-223jAcyIBk,118.96,"that's your stance that's difficult"
-223jAcyIBk,122.0,"oh it's in your head"
-223jAcyIBk,123.56,"[Music]"
-223jAcyIBk,126.88,"this"
-223jAcyIBk,131.07,"[Music]"
-223jAcyIBk,136.72,"wow"
-223jAcyIBk,137.68,"um"
-223jAcyIBk,139.28,"shadow of the moon night"
-223jAcyIBk,152.0,"how nice"
-223jAcyIBk,158.08,"i love how they even change their colors"
-223jAcyIBk,159.519,"to it"
-223jAcyIBk,160.56,"you know man uh is it this is the shadow"
-223jAcyIBk,163.84,"of moon knight did you catch like there"
-223jAcyIBk,165.519,"was he walked under the light and the"
-223jAcyIBk,166.959,"the crescent moon like that's oh that's"
-223jAcyIBk,168.879,"my that's one of my favorite ones from"
-223jAcyIBk,170.0,"any trailer this this uh this is is it"
-223jAcyIBk,172.239,"too early to say that this might turn"
-223jAcyIBk,175.36,"into my favorite one of the marvel"
-223jAcyIBk,178.159,"that's not just me like talking hype"
-223jAcyIBk,181.2,"that is that is like oh my god that is"
-223jAcyIBk,183.36,"exactly my kind of show right there i"
-223jAcyIBk,185.68,"think that's the best trailer the"
-223jAcyIBk,186.64,"darkness the supernatural elements the"
-223jAcyIBk,188.8,"variety of performance by oscar isaac"
-223jAcyIBk,190.879,"because yeah this confirms that he is"
-223jAcyIBk,192.319,"going to be we were like speculating"
-223jAcyIBk,193.519,"before the trailer started of will they"
-223jAcyIBk,195.36,"get like different actors for some of"
-223jAcyIBk,196.72,"the personalities which one seems to be"
-223jAcyIBk,198.159,"the dominant personality though in this"
-223jAcyIBk,199.76,"trailer there seems to be one stephen"
-223jAcyIBk,201.28,"scene dominant"
-223jAcyIBk,202.64,"but i think that's a mislead because"
-223jAcyIBk,203.92,"mark is in the comic book is the"
-223jAcyIBk,205.36,"dominant one mercenary that gets taken"
-223jAcyIBk,207.12,"out by bushmaster yes and i assume"
-223jAcyIBk,209.44,"that's a mislead on purpose because it's"
-223jAcyIBk,210.959,"not a known character so maybe steven is"
-223jAcyIBk,212.799,"who we identify with in the first"
-223jAcyIBk,214.08,"episode yeah and therefore you think"
-223jAcyIBk,215.84,"he's this more posh well-to-do guy and"
-223jAcyIBk,218.0,"then maybe the second episode they"
-223jAcyIBk,219.12,"introduced the cabbie and we've got a"
-223jAcyIBk,220.72,"character you're like wait why is he now"
-223jAcyIBk,222.08,"this guy and like we slowly find mark"
-223jAcyIBk,224.0,"maybe like uncover his true self yeah"
-223jAcyIBk,226.48,"what i'm loving about it is like how"
-223jAcyIBk,228.0,"psychological it is like it's gonna deal"
-223jAcyIBk,230.319,"with the fact of how this kind of plays"
-223jAcyIBk,231.84,"on uh disassociative identity disorder"
-223jAcyIBk,234.319,"and the way how they visually represent"
